Temporal Dark Patterns Present,Monetary Dark Patterns Present,Social Dark Patterns Present,Psychological Dark Patterns Present,Temporal Dark Patterns Absence,Monetary Dark Patterns Absence,Social Dark Patterns Absence,Psychological Dark Patterns Absence
72,87,18,66,48,77,94,46
11,17,0,7,6,8,14,5
69,141,54,90,95,130,120,80
3,5,0,7,4,6,7,0
7,8,7,6,7,14,7,8
4,5,1,4,2,6,6,3
5,11,4,8,9,11,10,6
5,6,1,2,2,5,6,5
3,6,2,3,4,4,5,4
3,6,2,3,4,5,5,4
4,6,3,1,3,4,4,6
0,9,0,7,7,2,7,0
5,7,0,3,2,4,7,4
4,5,2,3,3,6,5,4
4,6,1,3,3,5,6,4
22,26,0,14,7,19,21,16
6,3,0,5,1,5,7,2
4,6,2,1,2,4,4,6
18,31,8,10,14,28,20,14
3,4,2,0,1,2,5,1
65,87,4,47,35,64,86,40
21,38,4,14,17,20,31,26
17,32,7,10,13,22,28,17
8,9,2,9,5,12,12,5
10,20,0,7,7,4,21,6
7,19,7,9,14,14,14,12
21,24,1,13,6,14,31,14
15,26,11,17,19,26,24,16
94,178,52,100,121,155,151,112
8,10,2,8,6,11,12,6
4,7,1,1,3,4,5,5
49,90,28,58,68,81,84,52
2,1,0,3,0,1,0,2
9,16,7,9,10,17,14,12
3,5,2,2,3,4,5,4
4,0,2,7,2,11,1,0
3,4,2,2,2,5,5,2
334,384,337,197,370,695,277,411
18,29,4,12,17,20,27,15
9,16,6,4,10,15,11,9
3,3,4,3,1,3,2,2
16,16,7,5,9,15,20,10
4,3,0,2,0,1,7,0
7,16,7,9,13,17,13,11
4,7,0,3,3,4,7,4
4,6,1,2,3,5,6,5
3,3,2,5,3,8,5,2
0,8,1,5,7,3,6,2
2,7,3,1,5,4,4,6
5,5,2,1,2,6,5,6
4,7,0,3,3,4,7,4
6,11,5,4,8,11,9,10
3,7,2,1,4,4,5,6
5,6,1,1,2,5,6,6
3,2,5,3,4,9,2,4
6,4,1,2,1,7,6,5
9,17,12,13,18,25,14,14
4,5,2,2,3,6,5,5
3,5,0,0,3,4,0,0
3,3,3,3,2,7,4,4
13,12,4,4,7,16,12,8
23,25,0,20,10,27,35,15
28,30,2,20,14,30,40,21
7,11,0,6,7,11,7,7
14,15,0,11,5,17,21,8
5,5,0,2,1,6,7,0
10,13,7,8,11,20,14,13
3,4,1,2,4,4,2,3
16,28,7,17,21,27,28,17
36,31,17,15,19,54,39,38
22,23,0,15,10,21,28,18
161,174,144,115,170,336,184,203
0,9,0,2,0,2,7,2
22,35,0,22,20,26,42,18
9,11,1,5,5,10,13,9
3,12,5,6,11,10,9,8
6,10,5,7,8,12,8,7
6,13,6,4,8,9,8,10
4,5,0,4,2,5,7,3
9,15,4,8,12,15,15,11
9,11,0,9,5,6,14,5
13,27,13,20,29,32,28,18
4,1,0,0,2,0,0,0
9,13,9,3,10,17,10,12
73,110,38,58,86,134,122,101
3,2,0,3,0,0,7,0
2,3,1,1,4,4,0,1
2,4,0,2,0,0,7,0
5,13,3,3,8,7,9,11
4,5,0,2,0,5,7,2
71,87,43,87,88,172,111,77
13,18,6,13,15,26,20,13
11,11,0,3,7,10,7,4
4,4,1,3,3,7,6,4
3,6,0,4,4,4,7,3
0,8,1,4,7,3,6,3
3,5,1,3,4,6,6,4
4,4,2,2,3,7,4,5
4,4,2,2,3,7,5,4
3,4,0,6,4,7,7,1
5,5,1,1,2,6,6,6
4,5,0,4,3,6,7,3
5,4,0,4,1,7,7,3
4,6,0,3,3,5,7,4
4,4,0,5,2,7,7,2
3,3,2,4,4,7,5,3
1,3,2,6,6,8,5,1
2,6,0,5,5,5,7,2
5,5,1,1,2,6,6,6
4,5,0,4,3,6,7,3
3,5,2,2,4,6,5,5
3,6,0,4,4,4,7,3
0,3,0,2,0,0,0,0
6,4,0,3,1,7,7,4
5,4,0,4,2,7,7,3
4,5,1,2,2,6,6,5
2,5,2,3,5,6,5,4
5,5,0,3,2,6,7,4
13,16,0,6,6,15,14,14
5,8,4,3,7,9,6,9
27,27,0,18,12,30,42,19
5,16,8,6,16,16,11,10
4,11,5,4,10,11,9,8
3,7,0,1,2,3,7,3
2,5,1,2,4,4,6,2
5,9,4,4,7,13,8,9
3,0,3,2,2,0,4,4
8,11,2,3,6,10,12,11
11,11,2,10,9,18,19,8
19,19,1,13,9,20,33,16
2,1,4,2,5,8,2,0
5,2,0,3,2,9,0,4
21,26,20,28,35,59,35,26
0,3,1,1,0,0,2,1
10,23,4,7,16,17,23,16
18,17,1,15,12,27,27,13
2,4,1,1,0,6,6,1
3,5,0,3,2,6,7,2
9,9,2,2,5,12,11,12
15,21,10,19,24,38,31,18
9,10,8,10,16,25,11,11
20,30,5,14,21,27,37,25
32,30,20,21,29,73,40,38
5,19,10,10,23,22,17,17
2,0,0,1,1,0,0,1
3,1,0,0,2,0,0,0
7,12,0,5,6,10,14,9
4,2,2,3,3,9,5,4
0,5,3,4,7,6,4,3
2,2,1,0,1,2,3,0
3,5,2,1,4,6,5,6
0,5,5,2,7,5,2,5
4,4,2,1,3,7,5,6
7,1,2,7,7,10,6,5
2,6,2,1,5,5,5,6
5,11,2,6,9,11,12,8
4,4,0,2,3,5,7,0
5,8,4,5,9,14,10,9
5,4,0,3,2,7,7,4
4,2,1,4,3,9,6,3
3,11,3,6,11,11,11,8
4,3,0,5,3,8,7,2
3,4,1,3,4,7,6,4
4,7,6,5,10,14,6,9
25,24,7,23,25,44,39,27
0,7,1,3,7,2,5,4
4,2,0,3,3,8,0,3
11,9,0,8,6,5,21,8
4,1,2,3,3,10,5,1
3,4,2,1,2,6,5,6
11,10,1,5,8,11,13,10
5,3,1,1,2,8,4,5
17,30,23,27,39,57,33,28
8,9,1,3,6,8,13,11
3,4,0,2,3,2,0,1
5,6,1,5,8,10,6,6
3,9,2,1,8,6,6,5
7,8,3,6,9,16,9,9
2,1,0,0,0,0,0,0
6,7,1,2,4,1,11,8
1,2,0,0,0,0,0,0
1,1,0,1,0,0,0,0
3,0,0,0,0,0,0,0
8,12,0,3,6,10,14,11
0,3,0,1,0,0,0,0
7,7,1,5,5,14,12,6
1,2,0,0,0,0,0,0
4,3,1,2,3,8,4,5
8,11,4,7,12,21,15,14
9,7,7,7,12,24,12,13
15,22,0,15,11,26,35,18
7,18,6,7,16,20,19,12
33,41,37,46,70,124,66,57
3,2,0,1,0,0,7,0
9,6,0,5,3,11,14,6
8,9,0,4,5,9,14,9
12,13,1,5,8,17,20,14
388,273,3,350,289,689,622,301
6,3,2,2,4,7,6,5
2,2,1,1,1,5,5,0
38,42,1,21,27,51,69,40
3,4,0,4,4,7,7,3
13,45,17,29,57,64,52,39
7,10,0,5,7,12,14,8
3,4,0,4,4,7,7,3
5,4,0,2,2,7,7,5
6,5,4,5,9,16,9,6
3,4,1,2,4,6,6,5
2,5,0,4,5,6,7,3
1,4,3,2,6,7,4,5
2,5,1,2,5,6,6,5
4,0,2,5,3,11,5,2
2,4,1,3,5,7,6,4
0,6,3,2,7,5,4,5
1,5,1,3,6,6,6,4
3,5,1,1,4,6,6,6
2,5,0,4,5,6,7,3
3,4,0,4,4,7,7,3
6,7,5,3,8,15,9,11
3,3,0,2,2,4,7,0
0,6,1,1,0,4,6,4
25,26,0,9,15,30,42,20
4,5,1,4,4,10,7,5
5,1,0,0,1,0,7,0
8,27,10,13,31,39,32,28
5,6,5,3,8,11,7,7
6,6,0,6,8,15,7,8
4,7,4,4,8,15,9,8
5,11,2,4,13,9,13,7
2,1,0,0,1,1,0,0
6,13,1,7,12,9,20,8
2,2,4,1,5,7,3,6
7,11,7,9,14,22,14,12
3,0,0,2,4,0,0,0
5,3,0,2,2,7,7,4
7,4,0,7,7,11,7,7
1,3,0,2,1,1,7,0
3,10,2,5,11,12,11,8
0,0,3,5,7,0,4,1
4,0,0,4,3,0,7,2
4,4,0,1,2,3,7,6
0,5,1,4,7,6,6,3
4,2,1,2,3,9,6,5
4,0,3,3,3,11,4,4
4,5,0,1,3,6,7,6
2,2,1,4,5,9,6,3
2,4,1,1,5,7,2,6
0,8,0,3,7,2,7,4
5,7,0,8,9,15,14,6
4,9,2,5,10,13,12,9
2,2,2,3,5,9,5,4
4,8,1,5,10,9,13,5
4,0,2,4,3,11,5,3
4,2,1,2,3,9,6,5
9,13,5,9,15,26,21,13
3,2,1,3,4,8,6,4
5,11,0,5,9,11,14,9
4,3,0,3,3,7,7,4
0,6,2,2,7,5,5,5
2,3,1,3,5,8,6,4
7,11,7,8,14,22,14,13
20,7,0,6,9,20,21,13
14,10,0,4,6,20,21,15
2,0,0,0,0,0,0,0
12,9,0,7,7,23,21,12
3,4,0,1,3,4,7,3
4,1,0,1,2,0,7,2
1,2,0,2,4,5,0,3
21,12,0,10,11,31,35,18
2,1,0,1,3,3,0,0
3,3,0,2,4,5,7,1
2,4,4,2,6,10,9,5
12,18,9,18,28,53,34,30
4,0,0,0,3,0,0,0
8,0,6,5,6,22,8,9
377,196,0,307,244,894,586,246
6,5,4,3,8,16,10,11
3,7,2,3,10,9,5,9
5,5,1,4,7,14,13,7
11,15,1,7,14,26,20,20
6,1,1,0,1,9,5,7
5,7,0,7,8,13,14,7
277,247,0,284,404,675,662,338
1,3,3,1,5,7,4,6
3,2,0,2,4,9,1,5
7,0,0,8,7,11,7,5
13,17,1,17,28,44,40,24
12,3,1,17,19,32,6,9
7,8,3,4,13,22,16,15
3,4,0,2,4,7,7,5
3,4,0,2,4,7,7,5
2,5,0,2,5,6,7,5
2,2,1,3,5,9,6,4
